link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/programmes/m0005hbv,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p0795yjb.jpg,Europe: The Big Vote
https://www.bbc.co.uk/programmes/b07dpt29,Programmes,BBC Parliament,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p03w1rs4.jpg,Britain and Europe: For Richer or Poorer?
https://www.bbc.co.uk/programmes/m0014p9n,Programmes,BBC Radio 4,22 February,https://ichef.bbci.co.uk/images/ic/314x176/p0bqnhj7.jpg,"The World Tonight: New sanctions against Russia from UK, EU and US"
https://www.bbc.co.uk/programmes/p03vkvq7,Programmes,BBC World Service,26 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03wc033.jpg,The Compass: Europe's Challenges: Europe's Challenges: Expanding the Union
https://www.bbc.co.uk/programmes/m001065p,Programmes,BBC News Channel,30 September 2021,https://ichef.bbci.co.uk/images/ic/314x176/p09xc9zl.jpg,HARDtalk: Michel Barnier - Former EU Chief Brexit Negotiator
https://www.bbc.co.uk/programmes/m000434c,Programmes,BBC News,6 April 2019,https://ichef.bbci.co.uk/images/ic/314x176/p074vq2r.jpg,"President Macron, France and Europe"
https://www.bbc.co.uk/programmes/b007wjbj,Programmes,BBC Parliament,6 April 2019,https://ichef.bbci.co.uk/images/ic/314x176/p02lrpbt.jpg,European Council Committee
https://www.bbc.co.uk/news/uk-northern-ireland-60456056,News,BBC Parliament,Northern Ireland,https://ichef.bbci.co.uk/news/416/cpsprodpb/16444/production/_123340219_hi074043129.jpg,Brexit: UK and EU will find 'durable' solutions to protocol
https://www.bbc.co.uk/programmes/b04p601n,Programmes,BBC Parliament,25 October 2014,https://ichef.bbci.co.uk/images/ic/314x176/p029hb1z.jpg,European Council Summit
https://www.bbc.co.uk/programmes/b00791k8,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnkz.jpg,Holidays in... Euroland
