link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/sport/av/rugby-union/60714279,Programmes,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/11534/production/_123646907_p0btz91c.jpg,Six Nations: Dan Biggar kept Wales in the game against France - Martin Johnson
https://www.bbc.co.uk/sport/rugby-union/60713584,Unknown,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/1242/production/_123647640_wales_v_france_036.jpg,"Six Nations 2022: Dan Biggar frustrated, annoyed and disappointed by France defeat"
https://www.bbc.co.uk/sport/rugby-union/60712709,Unknown,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/194A/production/_123647460_cdf_110322_cf_wales_v_france_060.jpg,Six Nations 2022: Wales 9-13 France - visitors keep Grand Slam dream alive
https://www.bbc.co.uk/sport/africa/60691767,Unknown,Unknown,Sport Africa,https://ichef.bbci.co.uk/news/416/cpsprodpb/ACA0/production/_123629144_mediaitem123629143.jpg,Row in Africa over 2023 Rugby World Cup qualifiers in France
https://www.bbc.co.uk/programmes/p0bvgzf7,Programmes,Unknown,BBC Radio Nottingham,https://ichef.bbci.co.uk/images/ic/314x176/p090nq5w.jpg,Frances Finn: Jodi Law sits in (03/04/2022)
https://www.bbc.co.uk/programmes/m0015l5f,Programmes,Unknown,BBC Radio 3,https://ichef.bbci.co.uk/images/ic/314x176/p0by5w3l.jpg,"In Tune: Francesca Dego, Tobias Ringborg, Anthony Pike, John Lenehan"
https://www.bbc.co.uk/sport/rugby-union/60677779,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/415D/production/_123633761_cdf_100322_cf_wales_v_france_u20s_059.jpg,Under-20 Six Nations: Wales U20s 15-47 France U20s
https://www.bbc.co.uk/sport/rugby-union/60696563,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/A9A9/production/_123433434_shutterstock_editorial_12824611s.jpg,Six Nations 2022: Wales aim to go under radar against France
https://www.bbc.co.uk/sport/rugby-union/60691263,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/17DAD/production/_122690779_cdf_201121_be_wales_v_australia141.jpg,Six Nations 2022: Versatile Wales forward Seb Davies prepares for France test
https://www.bbc.co.uk/sport/av/rugby-union/60681265,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/5475/production/_123612612_p0btflql.jpg,Wayne Pivac hopes for Cardiff capacity crowd against France as thousands of tickets remain unsold
https://www.bbc.co.uk/sport/live/rugby-union/56974875,Programmes,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/D33A/production/_123647045_gettyimages-1384349565.jpg,"Six Nations LIVE: Watch Wales v France plus score, commentary & updates"
https://www.bbc.co.uk/sport/rugby-union/60675913,Unknown,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/DD6A/production/_117528665_gettyimages-1301024424.jpg,Six Nations 2022: France captain Antoine Dupont fit to face Wales
https://www.bbc.co.uk/programmes/m0015k61,Programmes,Unknown,BBC Radio Ulster,https://ichef.bbci.co.uk/images/ic/314x176/p0bxcs2k.jpg,"The Ticket: Tom Robinson, Francesca Simon and Bessie Smith"
https://www.bbc.co.uk/sport/rugby-union/60679112,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/152A5/production/_123439668_gettyimages-1372981715.jpg,Six Nations 2022: Wales coach Wayne Pivac defends decision to pick Tomas Francis to face France
https://www.bbc.co.uk/sport/rugby-union/60574512,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/5E18/production/_123588042_daviesnavidiadams.png,Wales squad selector: Your starting XV to play France in Six Nations
https://www.bbc.co.uk/sport/rugby-union/60653180,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/15951/production/_123610488_joshn_sebd_fox_garetht.png,Six Nations 2022: Wales make four changes to face France
https://www.bbc.co.uk/sport/live/rugby-union/59764203,Programmes,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/16A4E/production/_123105729_6nationsu20_wal-v-fra.jpg,Under-20 Six Nations LIVE: Watch Wales v France plus score
https://www.bbc.co.uk/newsround/60822290,Programmes,Unknown,Newsround,https://ichef.bbci.co.uk/news/416/cpsprodpb/F792/production/_123787336_mediaitem123787335.jpg,Six Nations 2022: France win men's title for first time in 12 years
https://www.bbc.co.uk/programmes/p0bx0p98,Programmes,Unknown,BBC Radio Nottingham,https://ichef.bbci.co.uk/images/ic/314x176/p090nq5w.jpg,Frances Finn: 10/04/2022
https://www.bbc.co.uk/sport/football/60715554,Programmes,Unknown,Football,https://ichef.bbci.co.uk/news/416/cpsprodpb/4050/production/_123646461_ballondor.jpg,Ballon d'Or: France Football make changes to rules around judging
https://www.bbc.co.uk/sport/rugby-union/60640946,Programmes,Unknown,Welsh Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/16AA6/production/_123883829_gettyimages-francis.jpg,Six Nations 2022: Wales warned about picking Tomas Francis against France
